term_status,section,title,instructor,schedule,term
24SOpen,AUD 7220.001,Tinnitus  (2 Semester Credit Hours),Kelly Jahn,Wednesday 1:00pm - 2:45pm CD2 J.204,24s
24SOpen,AUD 7250.001,Issues in Mentoring and Counseling  (2 Semester Credit Hours),Carol Cokely,Wednesday 1:00pm - 3:00pm CD1 B.108,24s
24SOpen,AUD 7321.001,Theories of Amplification  (3 Semester Credit Hours),Edward Lobarinas,Wednesday 8:45am - 11:30am CD1 A.229,24s
24SOpen,AUD 7326.501,Aural Habilitation of Children with Hearing Impairments  (3 Semester Credit Hours),Linda Thibodeau,Tuesday 5:30pm - 8:15pm CR 1.508,24s
24SOpen,AUD 7351.001,Physiologic Assessment of Vestibular System  (3 Semester Credit Hours),Scott Griffiths,Wednesday 9:00am - 11:45am CD2 J.204,24s
24SOpen,AUD 7v98.002,Directed Study in Audiology and Hearing Science  - Path Methods (1 Semester Credit Hour),Andrea Warner-Czyz,Independent Study Wednesday 4:15pm - 5:15pm CD2 J.204,24s
24SOpen,AUD 8v80.086,Individual Research in Audiology  (1-9 Credits),Stephanie Fowler-Brookman,Research,24s
24SOpen,AUD 8v80.093,Individual Research in Audiology  (1-9 Credits),Andrea Warner-Czyz,Research,24s
24UFull,AUD 6216.0u1,Audiologic Rehabilitation for Adults  (2 Semester Credit Hours),Carol Cokely,Wednesday 9:00am - 11:45am CD2 J.204,24u
24UOpen,AUD 6352.0u1,Audiology in the Medical and Public Health Systems  (3 Semester Credit Hours),Jackie Clark,Wednesday 1:00pm - 3:45pm CD1 B.108 Monday 6:00pm - 7:45pm CD1 B.108,24u
24UOpen,AUD 7240.5u1,Auditory Processing Disorders and other Advanced Topics in Audiology  (2 Semester Credit Hours),Scott Griffiths,Tuesday 6:00pm - 8:45pm CD2 J.204,24u
24UFull,AUD 7280.064,Doctoral Practicum in Audiology  (2 Semester Credit Hours),"Stephanie Fowler-Brookman,Cornetta Mosley",Practicum,24u
24UFull,AUD 7280.070,Doctoral Practicum in Audiology  (2 Semester Credit Hours),Jackie Clark,Practicum,24u
24UOpen,AUD 7325.5u1,Intensive Auditory Rehabilitation for Adult Hearing Loss  (3 Semester Credit Hours),"Linda Thibodeau,Cornetta Mosley",Tuesday 5:30pm - 7:15pm CR 1.212,24u
24UOpen,AUD 7360.0u1,Planning Audiology Services in Developing Countries  (3 Semester Credit Hours),Jackie Clark,Independent Study Wednesday 4:00pm - 6:45pm CD2 J.111,24u
24UOpen,AUD 8v80.006,Individual Research in Audiology  (1-9 Credits),Colleen Le Prell,Research,24u
24UOpen,AUD 8v80.007,Individual Research in Audiology  (1-9 Credits),Edward Lobarinas,Research,24u
24UOpen,AUD 8v80.009,Individual Research in Audiology  (1-9 Credits),Scott Griffiths,Research,24u
24UOpen,AUD 8v80.021,Individual Research in Audiology  (1-9 Credits),Linda Thibodeau,Research,24u
24UOpen,AUD 8v80.064,Individual Research in Audiology  (1-9 Credits),Carol Cokely,Research,24u
24UOpen,AUD 8v80.070,Individual Research in Audiology  (1-9 Credits),Jackie Clark,Research,24u
24UOpen,AUD 8v80.093,Individual Research in Audiology  (1-9 Credits),Andrea Warner-Czyz,Research,24u
24FOpen,AUD 6113.001,Grand Rounds  (1 Semester Credit Hour),Carol Cokely,Seminar Wednesday 12:00pm - 1:00pm CD2 J.108,24f
24FOpen,AUD 6121.101,Foundation Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Stephanie Fowler-Brookman,Laboratory - No Lab Fee Tuesday 1:00pm - 3:45pm CD2 J.213,24f
24FOpen,AUD 6121.102,Foundation Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Stephanie Fowler-Brookman,Laboratory - No Lab Fee Thursday 9:00am - 11:45am CD2 J.213,24f
24FOpen,AUD 6121.103,Foundation Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Cornetta Mosley,Laboratory - No Lab Fee Tuesday 9:00am - 11:45am CD2 J.223,24f
24FOpen,AUD 6121.104,Foundation Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Cornetta Mosley,Laboratory - No Lab Fee Thursday 1:00pm - 3:45pm CD2 J.223,24f
24FOpen,AUD 6122.101,Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Scott Griffiths,Laboratory - No Lab Fee Monday 1:00pm - 3:45pm CD2 J.224,24f
24FFull,AUD 6122.102,Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Scott Griffiths,Laboratory - No Lab Fee Thursday 9:00am - 11:45am CD2 J.224,24f
24FFull,AUD 6122.103,Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Jackie Clark,Laboratory - No Lab Fee Monday 9:00am - 11:45am CD2 J.213,24f
24FOpen,AUD 6122.104,Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Jackie Clark,Laboratory - No Lab Fee Thursday 1:00pm - 3:45pm CD2 J.213,24f
24FOpen,AUD 6123.101,Advanced Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Christina Campbell,Laboratory - No Lab Fee Monday 9:00am - 11:45am CD2 J.223,24f
24FFull,AUD 6123.102,Advanced Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Kimberly Fiorentino,Laboratory - No Lab Fee Friday 1:00pm - 3:45pm CD2 J.223,24f
24FOpen,AUD 6303.001,Hearing Science  (3 Semester Credit Hours),Edward Lobarinas,Wednesday 8:45am - 11:30am CD1 B.108,24f
24FFull,AUD 6305.0h1,Anatomy and Physiology of Audition  (3 Semester Credit Hours),Kelly Jahn,(Hybrid) Friday 8:00am - 8:50am CD2 J.204,24f
24FOpen,AUD 6310.001,Advanced Clinical Audiology  (3 Semester Credit Hours),Cornetta Mosley,Wednesday 1:00pm - 3:45pm CD2 J.204,24f
24FOpen,AUD 7253.001,Clinical Electrophysiology  (2 Semester Credit Hours),Scott Griffiths,Wednesday 1:00pm - 2:45pm CD2 J.108,24f
24FOpen,AUD 7321.001,Theories of Amplification  (3 Semester Credit Hours),Edward Lobarinas,Friday 12:30pm - 3:15pm CD2 J.204,24f
24FFull,AUD 7327.001,Evaluation and Fitting of Amplification Systems  (3 Semester Credit Hours),Jackie Clark,Wednesday 8:30am - 11:15am CD2 J.204,24f
24FFull,AUD 7338.001,Research in Audiology  (3 Semester Credit Hours),Carol Cokely,Friday 1:00pm - 3:45pm CRA 12.125,24f
24FOpen,AUD 7352.001,Advanced Diagnostics of Auditory and Balance Disorder  (3 Semester Credit Hours),Andrea Gohmert,Wednesday 9:00am - 11:45am CD1 A.229,24f
24FOpen,AUD 7v82.001,Special Topics in Hearing Science and Audiology  - Adv. Hearing Loss Prevention (1 Semester Credit Hour),Scott Griffiths,Wednesday 3:00pm - 3:50pm CD2 J.108,24f
25SOpen,AUD 6113.001,Grand Rounds  (1 Semester Credit Hour),Carol Cokely,Seminar Wednesday 3:00pm - 4:00pm CD2 J.108,25s
25SOpen,AUD 6114.001,Instrumentation  (1 Semester Credit Hour),Linda Thibodeau,Friday 9:00am - 10:40am CR 1.508,25s
25SOpen,AUD 6114.002,Instrumentation  (1 Semester Credit Hour),Linda Thibodeau,Friday 11:00am - 12:40pm CR 1.508,25s
25SOpen,AUD 6121.101,Foundation Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Stephanie Cox,Laboratory - No Lab Fee Friday 1:00pm - 3:45pm CD2 J.225,25s
25SOpen,AUD 6121.102,Foundation Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Kimberly Fiorentino,Laboratory - No Lab Fee Friday 9:00am - 11:45am CD2 J.223,25s
25SOpen,AUD 6121.103,Foundation Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Jackie Clark,Laboratory - No Lab Fee Tuesday 9:00am - 11:45am CD2 J.213,25s
25SOpen,AUD 6121.104,Foundation Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Jackie Clark,Laboratory - No Lab Fee Thursday 1:00pm - 3:45pm CD2 J.213,25s
25SOpen,AUD 6122.103,Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Christina Campbell,Laboratory - No Lab Fee Monday 8:00am - 10:45am CD2 J.223,25s
25SFull,AUD 6122.104,Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Amanda Frost,Laboratory - No Lab Fee Friday 1:00pm - 3:45pm CD2 J.223,25s
25SOpen,AUD 6123.102,Advanced Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Stephanie Fowler-Brookman,Laboratory - No Lab Fee Monday 1:00pm - 3:45pm CD2 J.204,25s
25SOpen,AUD 6123.103,Advanced Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Stephanie Fowler-Brookman,Laboratory - No Lab Fee Thursday 9:00am - 11:45am CD2 J.204,25s
25SOpen,AUD 6311.001,Diagnostic Audiology  (3 Semester Credit Hours),Bohua Hu,Thursday 4:30pm - 7:15pm CD2 J.204,25s
25SOpen,AUD 6318.001,Pediatric Audiology  (3 Semester Credit Hours),Andrea Warner-Czyz,Tuesday 4:30pm - 7:15pm CRA 12.125,25s
25SOpen,AUD 7228.501,Hearing Loss Prevention  (2 Semester Credit Hours),Colleen Le Prell,Monday 6:00pm - 7:45pm GR 4.208,25s
25SOpen,AUD 7250.001,Issues in Mentoring and Counseling  (2 Semester Credit Hours),Carol Cokely,Wednesday 1:00pm - 2:45pm CD2 J.204,25s
25SOpen,AUD 7324.001,Seminar in Cochlear Implants and Technology for Persons Who are Deaf or Hard of Hearing  (3 Semester Credit Hours),Andrea Warner-Czyz,Seminar Wednesday 1:00pm - 3:45pm CD1 B.108,25s
25SFull,AUD 7326.501,Aural Habilitation of Children with Hearing Impairments  (3 Semester Credit Hours),Linda Thibodeau,Tuesday 5:30pm - 8:15pm CR 1.508,25s
25SOpen,AUD 7327.001,Evaluation and Fitting of Amplification Systems  (3 Semester Credit Hours),Jackie Clark,Wednesday 8:30am - 11:15am CR 1.508,25s
25SOpen,AUD 7351.001,Physiologic Assessment of Vestibular System  (3 Semester Credit Hours),Andrea Gohmert,Wednesday 8:30am - 11:15am CD1 A.229,25s
25SOpen,AUD 7v82.001,"Special Topics in Hearing Science and Audiology  - Lang., Pathology & Audiology (3 Semester Credit Hours)",Yune Lee,Friday 1:00pm - 3:45pm GR 4.208,25s
25SOpen,AUD 7v98.002,Directed Study in Audiology and Hearing Science  (1 Semester Credit Hour),Andrea Warner-Czyz,Independent Study Wednesday 4:15pm - 5:15pm CD2 J.204,25s
25SOpen,AUD 7v98.003,Directed Study in Audiology and Hearing Science  - Pediatric Habilitation/tech (1 Semester Credit Hour),Linda Thibodeau,Independent Study Friday 8:00am - 8:50am CR 1.508,25s
25SOpen,AUD 8v80.086,Individual Research in Audiology  (1-9 Credits),Stephanie Fowler-Brookman,Research,25s
25SOpen,AUD 8v80.093,Individual Research in Audiology  (1-9 Credits),Andrea Warner-Czyz,Research,25s
25UOpen,AUD 6216.0u1,Audiologic Rehabilitation for Adults  (2 Semester Credit Hours),Carol Cokely,Wednesday 9:00am - 11:45am CD1 B.108,25u
25UOpen,AUD 6352.5u1,Audiology in the Medical and Public Health Systems  (3 Semester Credit Hours),Jackie Clark,Monday 6:00pm - 8:15pm CD2 J.204 Wednesday 1:00pm - 3:15pm CD2 J.204,25u
25UFull,AUD 7325.5u1,Intensive Auditory Rehabilitation for Adult Hearing Loss  (3 Semester Credit Hours),"Linda Thibodeau,Cornetta Mosley",Tuesday 5:30pm - 7:15pm CR 1.212,25u
25UOpen,AUD 7v82.0u3,Special Topics in Hearing Science and Audiology  - Embryology and Genetics (1 Semester Credit Hour),Jackie Clark,Wednesday 10:00am - 11:45am CD2 J.204,25u
25UOpen,AUD 7v82.0u4,Special Topics in Hearing Science and Audiology  - Prof Issues in Audiology (2 Semester Credit Hours),Angela Shoup,Wednesday 1:00pm - 3:45pm CD1 A.229,25u
25UOpen,AUD 8v80.006,Individual Research in Audiology  (1-9 Credits),Colleen Le Prell,Research,25u
25UOpen,AUD 8v80.007,Individual Research in Audiology  (1-9 Credits),Edward Lobarinas,Research,25u
25UOpen,AUD 8v80.021,Individual Research in Audiology  (1-9 Credits),Linda Thibodeau,Research,25u
25UOpen,AUD 8v80.064,Individual Research in Audiology  (1-9 Credits),Carol Cokely,Research,25u
25UOpen,AUD 8v80.070,Individual Research in Audiology  (1-9 Credits),Jackie Clark,Research,25u
25UOpen,AUD 8v80.093,Individual Research in Audiology  (1-9 Credits),Andrea Warner-Czyz,Research,25u
25FOpen,AUD 6121.101,Foundation Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Allison Woodford,Laboratory - No Lab Fee Friday 8:00am - 9:45am CD2 J.204,25f
25FOpen,AUD 6121.102,Foundation Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Allison Woodford,Laboratory - No Lab Fee Friday 10:00am - 11:45am CD2 J.204,25f
25FFull,AUD 6121.103,Foundation Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Aaron Cochran,Laboratory - No Lab Fee Friday 8:00am - 9:45am See instructor for room assignment,25f
25FFull,AUD 6121.104,Foundation Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Aaron Cochran,Laboratory - No Lab Fee Friday 10:00am - 11:45am See instructor for room assignment,25f
25FOpen,AUD 6122.101,Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Sean Kashiwagura,Laboratory - No Lab Fee Friday 8:00am - 9:45am CD2 J.223,25f
25FOpen,AUD 6122.102,Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Sean Kashiwagura,Laboratory - No Lab Fee Friday 10:00am - 11:45am CD2 J.223,25f
25FOpen,AUD 6122.103,Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Sarah Crow,Laboratory - No Lab Fee Friday 8:00am - 9:45am CD1 A.101,25f
25FOpen,AUD 6122.104,Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Sarah Crow,Laboratory - No Lab Fee Friday 10:00am - 11:45am CD1 A.101,25f
25FOpen,AUD 6303.001,Hearing Science  (3 Semester Credit Hours),Edward Lobarinas,Friday 12:30pm - 3:15pm CD2 J.204,25f
25FFull,AUD 6305.0h1,Anatomy and Physiology of Audition  (3 Semester Credit Hours),Bohua Hu,(Hybrid) Thursday 4:30pm - 7:15pm CD2 J.204,25f
25FFull,AUD 6310.001,Advanced Clinical Audiology  (3 Semester Credit Hours),Cornetta Mosley,Wednesday 1:00pm - 3:45pm CD2 J.204,25f
25FFull,AUD 7320.001,Tinnitus and Decreased Sound Tolerance  (3 Semester Credit Hours),Kelly Jahn,Wednesday 8:30am - 11:15am CD1 A.229,25f
25FFull,AUD 7321.001,Theories of Amplification  (3 Semester Credit Hours),Edward Lobarinas,Wednesday 8:30am - 11:15am CD2 J.204,25f
25FOpen,AUD 7324.001,Seminar in Cochlear Implants and Technology for Persons Who are Deaf or Hard of Hearing  (3 Semester Credit Hours),Andrea Warner-Czyz,Seminar Wednesday 8:30am - 11:15am CD1 B.108,25f
25FOpen,AUD 7338.001,Research in Audiology  (3 Semester Credit Hours),Carol Cokely,Friday 1:00pm - 3:45pm CD1 A.229,25f
25FFull,AUD 7352.501,Advanced Diagnostics of Auditory and Balance Disorder  (3 Semester Credit Hours),Conner Jansen,Monday 6:00pm - 8:45pm CR 1.508,25f
25FOpen,AUD 7354.001,Auditory Evoked Potentials and Auditory Processing  (3 Semester Credit Hours),Kirupa Suthakar,Wednesday 1:00pm - 3:45pm CD2 J.108,25f
25FFull,AUD 7361.001,Practice and Business Management  (3 Semester Credit Hours),Jackie Clark,Wednesday 1:00pm - 3:45pm CD1 A.229,25f
25FOpen,AUD 7v80.070,Doctoral Practicum in Audiology  (1-3 Credits),Jackie Clark,Practicum,25f
25FOpen,AUD 7v80.086,Doctoral Practicum in Audiology  (1-3 Credits),"Stephanie Fowler-Brookman,Carol Cokely",Practicum,25f
26SOpen,AUD 6013.001,AuD Grand Rounds  (0 Semester Credit Hours),Carol Cokely,Wednesday 12:00pm - 1:00pm CD1 C.140,26s
26SOpen,AUD 6114.501,Instrumentation  (1 Semester Credit Hour),Linda Thibodeau,Tuesday 5:30pm - 6:45pm CR 1.508,26s
26SOpen,AUD 6114.502,Instrumentation  (1 Semester Credit Hour),Linda Thibodeau,Tuesday 7:00pm - 8:15pm CR 1.508,26s
26SFull,AUD 6121.101,Foundation Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Aaron Cochran,Laboratory - No Lab Fee Friday 8:00am - 9:45am CD2 J.204,26s
26SFull,AUD 6121.102,Foundation Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Aaron Cochran,Laboratory - No Lab Fee Friday 10:00am - 11:45am CD2 J.204,26s
26SOpen,AUD 6121.103,Foundation Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Jackie Clark,Laboratory - No Lab Fee Friday 8:00am - 9:45am CD2 J.213,26s
26SOpen,AUD 6121.104,Foundation Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Jackie Clark,Laboratory - No Lab Fee Friday 10:00am - 11:45am CD2 J.213,26s
26SOpen,AUD 6122.101,Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Jared Poland,Laboratory - No Lab Fee Friday 8:00am - 9:45am CD2 J.223,26s
26SFull,AUD 6122.102,Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),Jared Poland,Laboratory - No Lab Fee Friday 10:00am - 11:45am CD2 J.223,26s
26SFull,AUD 6311.501,Diagnostic Audiology  (3 Semester Credit Hours),Bohua Hu,Thursday 5:30pm - 8:15pm CD2 J.108,26s
26SOpen,AUD 6318.501,Pediatric Audiology  (3 Semester Credit Hours),Andrea Warner-Czyz,Tuesday 5:30pm - 8:15pm CRA 12.125,26s
26SFull,AUD 7250.001,Issues in Mentoring and Counseling  (2 Semester Credit Hours),Carol Cokely,Wednesday 1:00pm - 2:45pm CD1 B.108,26s
26SOpen,AUD 7305.501,Hearing Loss Prevention and Pharmacology  (3 Semester Credit Hours),Colleen Le Prell,Monday 6:00pm - 8:45pm CRA 12.125,26s
26SOpen,AUD 7326.001,Aural Habilitation of Children who are Deaf or Hard of Hearing  (3 Semester Credit Hours),Linda Thibodeau,Friday 1:00pm - 3:45pm CD2 J.204,26s
26SOpen,AUD 7327.001,Evaluation and Fitting of Amplification Systems  (3 Semester Credit Hours),Jackie Clark,Wednesday 8:30am - 11:15am CD2 J.204,26s
26SOpen,AUD 7351.001,Physiologic Assessment of Vestibular System  (3 Semester Credit Hours),Jared Poland,Wednesday 1:00pm - 3:45pm CD2 J.204,26s
26SOpen,AUD 7v82.001,Special Topics in Hearing Science and Audiology  - Auditory Neurophysiology (3 Semester Credit Hours),Kirupa Suthakar,Wednesday 1:00pm - 3:45pm CD1 A.229,26s
26SOpen,AUD 7v98.002,Directed Study in Audiology and Hearing Science  - Path Methods (1 Semester Credit Hour),Andrea Warner-Czyz,Independent Study Monday 8:00am - 8:50am CR 1.508,26s
26SOpen,AUD 8v80.086,Individual Research in Audiology  (1-9 Credits),Stephanie Fowler-Brookman,Research,26s
26SOpen,AUD 8v80.093,Individual Research in Audiology  (1-9 Credits),Andrea Warner-Czyz,Research,26s
26UOpen,AUD 6216.0u1,Audiologic Rehabilitation for Adults  (2 Semester Credit Hours),Carol Cokely,Wednesday 9:00am - 11:45am CD1 B.108,26u
26UOpen,AUD 6240.0u1,Professional Issues in Audiology  (2 Semester Credit Hours),Angela Shoup,Wednesday 1:00pm - 3:45pm CD1 A.229,26u
26UOpen,AUD 6352.5u1,Audiology in the Medical and Public Health Systems  (3 Semester Credit Hours),"Jackie Clark,Jared Poland",Monday 6:00pm - 7:45pm CD2 J.204 Wednesday 1:00pm - 3:45pm CD2 J.204,26u
26UOpen,AUD 7101.0u1,Ear and Hearing Focused Genetics and Embryology  (1 Semester Credit Hour),Jackie Clark,Wednesday 10:00am - 11:45am CD2 J.204,26u
26UOpen,AUD 7325.5u1,Intensive Auditory Rehabilitation for Adult Hearing Loss  (3 Semester Credit Hours),"Linda Thibodeau,Cornetta Mosley",Tuesday 5:30pm - 9:15pm CR 1.212,26u
26UOpen,AUD 7v82.5w1,Special Topics in Hearing Science and Audiology  - Adv Aud Asmt & Manag Methods (1 Semester Credit Hour),Jared Poland,Tuesday 7:00pm - 7:50pm No Meeting Room,26u
26UOpen,AUD 8v80.006,Individual Research in Audiology  (1-9 Credits),Colleen Le Prell,Research,26u
26UOpen,AUD 8v80.007,Individual Research in Audiology  (1-9 Credits),Edward Lobarinas,Research,26u
26UOpen,AUD 8v80.021,Individual Research in Audiology  (1-9 Credits),Linda Thibodeau,Research,26u
26UOpen,AUD 8v80.064,Individual Research in Audiology  (1-9 Credits),Carol Cokely,Research,26u
26UOpen,AUD 8v80.070,Individual Research in Audiology  (1-9 Credits),Jackie Clark,Research,26u
26UOpen,AUD 8v80.093,Individual Research in Audiology  (1-9 Credits),Andrea Warner-Czyz,Research,26u
26FOpen,AUD 6013.001,AuD Grand Rounds  (0 Semester Credit Hours),Carol Cokely,Wednesday 12:00pm - 1:00pm CD1 C.140,26f
26FOpen,AUD 6121.101,Foundation Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),-Staff-,Laboratory - No Lab Fee Friday 8:00am - 9:45am CD2 J.204,26f
26FOpen,AUD 6121.102,Foundation Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),-Staff-,Laboratory - No Lab Fee Friday 8:00am - 9:45am CD2 J.213,26f
26FOpen,AUD 6121.103,Foundation Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),-Staff-,Laboratory - No Lab Fee Friday 8:00am - 9:45am See instructor for room assignment,26f
26FOpen,AUD 6121.104,Foundation Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),-Staff-,Laboratory - No Lab Fee Friday 10:00am - 11:45am See instructor for room assignment,26f
26FOpen,AUD 6122.101,Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),-Staff-,Laboratory - No Lab Fee Friday 8:00am - 9:45am CD2 J.223,26f
26FOpen,AUD 6122.102,Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),-Staff-,Laboratory - No Lab Fee Friday 10:00am - 11:45am CD2 J.223,26f
26FOpen,AUD 6122.103,Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),-Staff-,Laboratory - No Lab Fee Friday 8:00am - 9:45am CD1 A.101,26f
26FOpen,AUD 6122.104,Laboratory Procedures in Audiology and Hearing Science  (1 Semester Credit Hour),-Staff-,Laboratory - No Lab Fee Friday 10:00am - 11:45am CD1 A.101,26f
26FOpen,AUD 6303.001,Hearing Science  (3 Semester Credit Hours),Edward Lobarinas,Friday 12:30pm - 3:15pm CD2 J.204,26f
26FOpen,AUD 6305.5h1,Anatomy and Physiology of Audition  (3 Semester Credit Hours),Bohua Hu,(Hybrid) Thursday 5:30pm - 8:15pm CD2 J.204,26f
26FOpen,AUD 6310.001,Advanced Clinical Audiology  (3 Semester Credit Hours),Cornetta Mosley,Wednesday 1:00pm - 3:45pm CD2 J.204,26f
26FOpen,AUD 7320.001,Tinnitus and Decreased Sound Tolerance  (3 Semester Credit Hours),Kelly Jahn,Wednesday 8:30am - 11:15am CD1 A.229,26f
26FOpen,AUD 7321.001,Theories of Amplification  (3 Semester Credit Hours),Edward Lobarinas,Wednesday 8:30am - 11:15am CD2 J.204,26f
26FOpen,AUD 7324.001,Seminar in Cochlear Implants and Technology for Persons Who are Deaf or Hard of Hearing  (3 Semester Credit Hours),Andrea Warner-Czyz,Seminar Wednesday 8:30am - 11:15am CD1 B.108,26f
26FOpen,AUD 7338.001,Research in Audiology  (3 Semester Credit Hours),Carol Cokely,Friday 1:00pm - 3:45pm CD1 A.229,26f
26FOpen,AUD 7352.501,Advanced Diagnostics of Auditory and Balance Disorder  (3 Semester Credit Hours),Jared Poland,Monday 6:00pm - 8:45pm CR 1.508,26f
26FOpen,AUD 7354.001,Auditory Evoked Potentials and Auditory Processing  (3 Semester Credit Hours),Kirupa Suthakar,Wednesday 1:00pm - 3:45pm CD2 J.108,26f
26FOpen,AUD 7361.001,Practice and Business Management  (3 Semester Credit Hours),Jackie Clark,Wednesday 1:00pm - 3:45pm CD1 A.229,26f
24SOpen,BIOL 5381.001,Genomics  (3 Semester Credit Hours),Tae Hoon Kim,Tuesday & Thursday 10:00am - 11:15am JSOM 12.202,24s
24SOpen,BIOL 5410.001,Biochemistry  (4 Credits),"Nicole De Nisco,Nicholas Dillon",Monday & Wednesday 10:00am - 11:45am FN 2.214,24s
24SFull,BIOL 5440.001,Cell Biology  (4 Credits),Nikki Delk,Tuesday & Thursday 1:00pm - 2:45pm SLC 2.302,24s
24SOpen,BIOL 6100.001,Biological Sciences Department Seminar  (1 Semester Credit Hour),Darshan Sapkota,Seminar Monday 1:00pm - 2:50pm FO 3.222,24s
24SFull,BIOL 6252.001,Current Research in Molecular Biology  (2 Semester Credit Hours),"Darshan Sapkota,Zhenyu Xuan",Monday 1:00pm - 2:50pm See instructor for room assignment,24s
24SOpen,BIOL 6252.002,Current Research in Molecular Biology  (2 Semester Credit Hours),"Nicole De Nisco,Nicholas Dillon",Friday 1:00pm - 2:50pm SCI 3.220,24s
24SOpen,BIOL 6331.001,Molecular Genetics  (3 Semester Credit Hours),Jeff Dejong,Independent Study,24s
24SOpen,BIOL 6333.001,Macromolecules  Structure  Function  and Dynamics  (3 Semester Credit Hours),Stefanie Boyd,Independent Study,24s
24SOpen,BIOL 6344.001,Molecular Neuropathology II  (3 Semester Credit Hours),"Uma Srikanth,Darshan Sapkota",Tuesday & Thursday 10:00am - 11:15am ECSN 2.120,24s
24SOpen,BIOL 6351.001,Cellular and Molecular Biology of the Immune System  (3 Semester Credit Hours),Xintong Dong,Monday & Wednesday 10:00am - 11:15am AD 3.214,24s
24SOpen,BIOL 6352.001,Modern Biochemistry I  (3 Semester Credit Hours),Stefanie Boyd,Independent Study,24s
24SOpen,BIOL 6353.001,Modern Biochemistry II  (3 Semester Credit Hours),"Mehmet Candas,Lawrence Reitzer",Independent Study,24s
24SOpen,BIOL 6356.001,Eukaryotic Molecular and Cell Biology  (3 Semester Credit Hours),"Purna Joshi,Uma Srikanth",Independent Study,24s
24SFull,BIOL 6370.001,Microbial Genetics  (3 Semester Credit Hours),Joseph Boll,Monday & Wednesday 8:30am - 9:45am SLC 2.302,24s
24SOpen,BIOL 6385.001,Computational Biology  (3 Semester Credit Hours),Michael Zhang,Tuesday & Thursday 1:00pm - 2:15pm ECSW 2.325,24s
24SFull,BIOL 6684.001,Biotechnology Laboratory  (Non-Enroll),"Mehmet Candas,Li Liu",Monday & Wednesday 11:30am - 12:20pm FO 3.704A,24s
24SFull,BIOL 6684.301,Biotechnology Laboratory  (6 Credits),"Mehmet Candas,Li Liu",Laboratory Monday & Wednesday 12:30pm - 4:30pm FO 3.206,24s
24SFull,BIOL 6v02.001,The Art of Scientific Presentation  (1 Semester Credit Hour),Lin Jia,Wednesday 1:00pm - 2:15pm FO 3.222,24s
24SOpen,BIOL 6v51.022,Biotechnology Project Design  (1-6 Credits),Mehmet Candas,Independent Study,24s
24UOpen,BIOL 5330.0w2,Emerging Topics in Biology  (3 Semester Credit Hours),Vinita Hajeri,No Meeting Room,24u
24UOpen,BIOL 5382.0u1,Applied Genomics  (3 Semester Credit Hours),"Tae Hoon Kim,Edmund Miller",Combined Lec/Lab no Fee Tuesday & Thursday 10:00am - 12:15pm SCI 3.240,24u
