term_status,section,title,instructor,schedule,term
25FOpen,ENTP 6377.001,Venture Capital Seed Fund  (3 Semester Credit Hours),Bryan Chambers,Wednesday 1:00pm - 3:45pm JSOM 14.501,25f
25FOpen,ENTP 6380.501,Market Entry Strategies  (3 Semester Credit Hours),Paul Nichols,Tuesday 7:00pm - 9:45pm JSOM 2.102,25f
25FOpen,ENTP 6383.501,IT and AI Strategy and Innovation  (3 Semester Credit Hours),Rajiv Shah,Monday 7:00pm - 9:45pm JSOM 2.904,25f
25FOpen,ENTP 6388.501,Corporate Innovation - Entrepreneurial Strategies  (3 Semester Credit Hours),Rajiv Shah,Thursday 7:00pm - 9:45pm JSOM 2.102,25f
25FOpen,ENTP 6v99.501,Special Topics in Entrepreneurship  - Innovation at Work (3 Semester Credit Hours),Gowrishankar Sundararajan,Monday 7:00pm - 9:45pm JSOM 13.501,25f
25FOpen,ENTP 7301.001,Technology  Innovation and Entrepreneurship  (3 Semester Credit Hours),Anavir Shermon,Wednesday 10:00am - 12:45pm JSOM 14.501,25f
26SOpen,ENTP 6304.0w1,International Business Management  (3 Semester Credit Hours),Habte Woldu,No Meeting Room,26s
26SOpen,ENTP 6310.0w1,Strategic Management  (3 Semester Credit Hours),Jun Xia,No Meeting Room,26s
26SOpen,ENTP 6310.501,Strategic Management  (3 Semester Credit Hours),Gregory Dess,Monday 7:00pm - 9:45pm JSOM 2.714,26s
26SOpen,ENTP 6315.501,Entrepreneurial Finance  (3 Semester Credit Hours),Rajiv Shah,Monday 7:00pm - 9:45pm JSOM 1.110,26s
26SFull,ENTP 6321.0w1,Introduction to Real Estate  (3 Semester Credit Hours),Julie Lynch,No Meeting Room,26s
26SOpen,ENTP 6321.0w2,Introduction to Real Estate  (3 Semester Credit Hours),Julie Lynch,No Meeting Room,26s
26SOpen,ENTP 6355.501,Financial Modeling for Valuation  (3 Semester Credit Hours),Luis Felipe Varas Greene,Monday 7:00pm - 9:45pm JSOM 12.222,26s
26SOpen,ENTP 6360.001,Startup Launch I  (3 Semester Credit Hours),Robert Wright,Wednesday 4:00pm - 6:45pm JSOM 13.510,26s
26SOpen,ENTP 6361.001,Startup Launch II  (3 Semester Credit Hours),Jackie Kimzey,Wednesday 4:00pm - 6:45pm JSOM 14.501,26s
26SOpen,ENTP 6370.0w1,Innovation and Entrepreneurship  (3 Semester Credit Hours),Jackie Kimzey,No Meeting Room,26s
26SOpen,ENTP 6370.501,Innovation and Entrepreneurship  (3 Semester Credit Hours),Jackie Kimzey,Tuesday 7:00pm - 9:45pm JSOM 12.210,26s
26SOpen,ENTP 6375.501,Technology Strategies and New Product Development  (3 Semester Credit Hours),Rajiv Shah,Thursday 7:00pm - 9:45pm JSOM 11.210,26s
26SOpen,ENTP 6377.001,Venture Capital Seed Fund  (3 Semester Credit Hours),Bryan Chambers,Wednesday 1:00pm - 3:45pm JSOM 12.206,26s
26SOpen,ENTP 6378.001,Scaling New Ventures  (3 Semester Credit Hours),Haemin Park,Thursday 4:00pm - 6:45pm JSOM 14.501,26s
26SOpen,ENTP 6380.0w1,Market Entry Strategies  (3 Semester Credit Hours),Paul Nichols,No Meeting Room,26s
26SOpen,ENTP 6390.501,Business Model Innovation  (3 Semester Credit Hours),Paul Nichols,Tuesday 7:00pm - 9:45pm JSOM 2.112,26s
26SOpen,ENTP 6398.501,The Corporate Entrepreneurial Experience  (3 Semester Credit Hours),Rajiv Shah,Wednesday 7:00pm - 9:45pm JSOM 1.110,26s
26SOpen,ENTP 6v99.0h1,Special Topics in Entrepreneurship  - Innovation at Work (3 Semester Credit Hours),"Gowrishankar Sundararajan, -Staff-",(Hybrid) Friday 1:00pm - 3:45pm No Meeting Room Friday 1:00pm - 3:45pm JSOM 2.802 Friday 1:00pm - 3:45pm No Meeting Room Friday 1:00pm - 3:45pm JSOM 2.802 Friday 1:00pm - 3:45pm No Meeting Room Friday 1:00pm - 3:45pm JSOM 2.802 Friday 1:00pm - 3:45pm No Meeting Room Friday 1:00pm - 3:45pm JSOM 2.802 Friday 1:00pm - 3:45pm No Meeting Room Friday 1:00pm - 3:45pm JSOM 2.802,26s
26UOpen,ENTP 6310.0w1,Strategic Management  (3 Semester Credit Hours),Jun Xia,No Meeting Room,26u
26UFull,ENTP 6321.0w1,Introduction to Real Estate  (3 Semester Credit Hours),Julie Lynch,No Meeting Room,26u
26UOpen,ENTP 6370.0w1,Innovation and Entrepreneurship  (3 Semester Credit Hours),Jackie Kimzey,No Meeting Room,26u
26UOpen,ENTP 6375.5u1,Technology Strategies and New Product Development  (3 Semester Credit Hours),Paul Nichols,Wednesday 6:00pm - 9:45pm JSOM 2.106,26u
26FOpen,ENTP 6304.0w1,International Business Management  (3 Semester Credit Hours),Habte Woldu,No Meeting Room,26f
26FOpen,ENTP 6304.501,International Business Management  (3 Semester Credit Hours),Mike Peng,Thursday 7:00pm - 9:45pm JSOM 2.901,26f
26FOpen,ENTP 6310.0w1,Strategic Management  (3 Semester Credit Hours),Zhiang Lin,No Meeting Room,26f
26FOpen,ENTP 6314.501,AI in Action  Building Products  Ventures  and Competitive Advantage  (3 Semester Credit Hours),Anavir Shermon,Wednesday 7:00pm - 9:45pm JSOM 13.501,26f
26FOpen,ENTP 6321.0w1,Introduction to Real Estate  (3 Semester Credit Hours),Julie Lynch,No Meeting Room,26f
26FOpen,ENTP 6321.0w2,Introduction to Real Estate  (3 Semester Credit Hours),-Staff-,No Meeting Room,26f
26FOpen,ENTP 6355.501,Financial Modeling for Valuation  (3 Semester Credit Hours),Richard Davis,Tuesday 7:00pm - 9:45pm JSOM 2.904,26f
26FOpen,ENTP 6360.001,Startup Launch I  (3 Semester Credit Hours),Robert Wright,Wednesday 4:00pm - 6:45pm SOM 22.110,26f
26FOpen,ENTP 6370.0w1,Innovation and Entrepreneurship  (3 Semester Credit Hours),Jackie Kimzey,No Meeting Room,26f
26FOpen,ENTP 6375.001,Technology Strategies and New Product Development  (3 Semester Credit Hours),Anavir Shermon,Tuesday 4:00pm - 6:45pm JSOM 2.902,26f
26FOpen,ENTP 6375.0w1,Technology Strategies and New Product Development  (3 Semester Credit Hours),Rajiv Shah,No Meeting Room,26f
26FOpen,ENTP 6377.001,Venture Capital Seed Fund  (3 Semester Credit Hours),Bryan Chambers,Wednesday 1:00pm - 3:45pm JSOM 14.501,26f
26FOpen,ENTP 6380.501,Market Entry Strategies for Startups and Corporations  (3 Semester Credit Hours),Paul Nichols,Tuesday 7:00pm - 9:45pm JSOM 2.102,26f
26FOpen,ENTP 6383.501,IT and AI  Strategy and Innovation  (3 Semester Credit Hours),Rajiv Shah,Monday 7:00pm - 9:45pm JSOM 2.904,26f
26FOpen,ENTP 6388.501,Corporate Innovation and Entrepreneurship  (3 Semester Credit Hours),Rajiv Shah,Thursday 7:00pm - 9:45pm JSOM 2.102,26f
24SOpen,EPPS 6313.501,Introduction to Quantitative Methods  (3 Semester Credit Hours),William Grover,Tuesday 7:00pm - 9:45pm GR 3.402A Tuesday 7:00pm - 9:45pm GR 3.402B,24s
24SOpen,EPPS 6316.501,Applied Regression  (3 Semester Credit Hours),Andrew Krajewski,Thursday 7:00pm - 9:45pm GR 3.402B Thursday 7:00pm - 9:45pm GR 3.402A,24s
24SOpen,EPPS 6323.001,Knowledge Mining  (3 Semester Credit Hours),Karl Ho,Wednesday 4:00pm - 6:45pm FN 2.104,24s
24SOpen,EPPS 6326.501,Machine Learning for Socio-Economic and Geo-Referenced Data  (3 Semester Credit Hours),Michael Tiefelsdorf,Wednesday 7:00pm - 9:45pm GR 3.402A Wednesday 7:00pm - 9:45pm GR 3.402B,24s
24SOpen,EPPS 6346.001,Qualitative Research Orientation  (3 Semester Credit Hours),Brenda Gambol Gavigan,Wednesday 4:00pm - 6:45pm GR 4.208,24s
24SOpen,EPPS 6352.001,Evaluation Research Methods in the Economic  Political and Policy Sciences  (3 Semester Credit Hours),Simon Fass,Monday 4:00pm - 6:45pm CB 1.210,24s
24SOpen,EPPS 6354.001,Information Management  (3 Semester Credit Hours),Karl Ho,Thursday 4:00pm - 6:45pm GR 3.206,24s
24SOpen,EPPS 7316.001,Regression and Multivariate Analysis  (3 Semester Credit Hours),Patrick Brandt,Tuesday 4:00pm - 6:45pm GR 3.206,24s
24UOpen,EPPS 6300.051,EPPS Policy Lab  (3 Semester Credit Hours),"Andrew Nevin,Kashmiri Medhi",Laboratory - No Lab Fee Monday & Wednesday 8:30am - 12:45pm ATC 4.902,24u
24UOpen,EPPS 6317.051,Python Programming for Social Science  (3 Semester Credit Hours),Fang Qiu,Tuesday & Thursday 1:00pm - 5:15pm GR 3.402A Tuesday & Thursday 1:00pm - 5:15pm GR 3.402B,24u
24FOpen,EPPS 6302.001,Methods of Data Collection and Production  (3 Semester Credit Hours),Karl Ho,Tuesday 4:00pm - 6:45pm GR 3.402A Tuesday 4:00pm - 6:45pm GR 3.402B,24f
24FOpen,EPPS 6313.001,Introduction to Quantitative Methods  (3 Semester Credit Hours),Pengfei Zhang,Monday 4:00pm - 6:45pm GR 4.204,24f
24FOpen,EPPS 6313.501,Introduction to Quantitative Methods  (3 Semester Credit Hours),Timothy Bray,Wednesday 7:00pm - 9:45pm GR 4.204,24f
24FOpen,EPPS 6313.502,Introduction to Quantitative Methods  (3 Semester Credit Hours),Eugenia Gorina,Monday 6:00pm - 8:45pm,24f
24FOpen,EPPS 6316.501,Applied Regression  (3 Semester Credit Hours),Michael Tiefelsdorf,Wednesday 7:00pm - 9:45pm GR 3.602,24f
24FOpen,EPPS 6317.501,Python Programming for Social Science  (3 Semester Credit Hours),Bryan Chastain,Tuesday 7:00pm - 9:45pm GR 3.402A Tuesday 7:00pm - 9:45pm GR 3.402B,24f
24FOpen,EPPS 6356.501,Data Visualization  (3 Semester Credit Hours),Karl Ho,Wednesday 7:00pm - 9:45pm GR 3.402A Wednesday 7:00pm - 9:45pm GR 3.402B,24f
24FOpen,EPPS 7313.501,Descriptive and Inferential Statistics  (3 Semester Credit Hours),Dohyeong Kim,Monday 7:00pm - 9:45pm GR 4.204,24f
24FOpen,EPPS 7370.001,Time Series Analysis I  (3 Semester Credit Hours),Patrick Brandt,Tuesday 4:00pm - 6:45pm GR 4.204,24f
25SOpen,EPPS 6313.501,Introduction to Quantitative Methods  (3 Semester Credit Hours),William Grover,Tuesday 7:00pm - 9:45pm GR 3.402A Tuesday 7:00pm - 9:45pm GR 3.402B,25s
25SOpen,EPPS 6316.501,Applied Regression  (3 Semester Credit Hours),Andrew Krajewski,Thursday 7:00pm - 9:45pm GR 3.402B Thursday 7:00pm - 9:45pm GR 3.402A,25s
25SOpen,EPPS 6323.001,Knowledge Mining  (3 Semester Credit Hours),Karl Ho,Tuesday 4:00pm - 6:45pm ECSN 2.120,25s
25SOpen,EPPS 6326.501,Machine Learning for Socio-Economic and Geo-Referenced Data  (3 Semester Credit Hours),Michael Tiefelsdorf,Wednesday 7:00pm - 9:45pm GR 3.402A Wednesday 7:00pm - 9:45pm GR 3.402B,25s
25SOpen,EPPS 6346.001,Qualitative Research Methods  (3 Semester Credit Hours),Brenda Gambol Gavigan,Wednesday 4:00pm - 6:45pm AD 3.214,25s
25SOpen,EPPS 6354.001,Information Management  (3 Semester Credit Hours),Karl Ho,Thursday 4:00pm - 6:45pm GR 3.206,25s
25SOpen,EPPS 7304.501,Cost-Benefit Analysis  (3 Semester Credit Hours),Simon Fass,Monday 7:00pm - 9:45pm FN 2.304,25s
25SOpen,EPPS 7316.001,Regression and Multivariate Analysis  (3 Semester Credit Hours),Patrick Brandt,Tuesday 4:00pm - 6:45pm GR 3.206,25s
25FOpen,EPPS 6300.001,EPPS Policy Lab  - Casinos Policy and Consequence (3 Semester Credit Hours),"Timothy Bray,Natalia Lamberova",Laboratory - No Lab Fee Monday 10:00am - 12:45pm GR 4.208,25f
25FOpen,EPPS 6302.001,Methods of Data Collection and Production  (3 Semester Credit Hours),Karl Ho,Tuesday 4:00pm - 6:45pm GR 3.402A Tuesday 4:00pm - 6:45pm GR 3.402B,25f
25FOpen,EPPS 6313.001,Introduction to Quantitative Methods  (3 Semester Credit Hours),Pengfei Zhang,Monday 4:00pm - 6:45pm GR 4.204,25f
25FOpen,EPPS 6313.501,Introduction to Quantitative Methods  (3 Semester Credit Hours),Timothy Bray,Wednesday 7:00pm - 9:45pm FO 1.202,25f
25FOpen,EPPS 6316.501,Applied Regression  (3 Semester Credit Hours),Michael Tiefelsdorf,Wednesday 7:00pm - 9:45pm GR 3.206,25f
25FOpen,EPPS 6317.501,Python Programming for Social Science  (3 Semester Credit Hours),Bryan Chastain,Tuesday 7:00pm - 9:45pm GR 3.402A Tuesday 7:00pm - 9:45pm GR 3.402B,25f
25FOpen,EPPS 6336.001,Fundamentals of Sustainability  (3 Semester Credit Hours),Muhammad Rahman,Monday & Wednesday 2:30pm - 3:45pm GR 4.301,25f
25FOpen,EPPS 6336.0w1,Fundamentals of Sustainability  (3 Semester Credit Hours),Muhammad Rahman,No Meeting Room,25f
25FOpen,EPPS 6350.501,Mixed Methods Research Design  (3 Semester Credit Hours),Elizabeth Searing,Monday 7:00pm - 9:45pm GR 4.208,25f
25FOpen,EPPS 6356.501,Data Visualization  (3 Semester Credit Hours),Karl Ho,Wednesday 7:00pm - 9:45pm GR 3.402A Wednesday 7:00pm - 9:45pm GR 3.402B,25f
25FOpen,EPPS 7313.501,Descriptive and Inferential Statistics  (3 Semester Credit Hours),Dohyeong Kim,Monday 7:00pm - 9:45pm GR 4.204,25f
25FOpen,EPPS 7386.501,Survey Research  (3 Semester Credit Hours),Curtis Bram,Tuesday 7:00pm - 9:45pm AD 2.238,25f
25FOpen,EPPS 7390.001,Bayesian Analysis for Social and Behavioral Sciences  (3 Semester Credit Hours),Patrick Brandt,Tuesday 4:00pm - 6:45pm GR 4.208,25f
26SOpen,EPPS 6300.001,EPPS Policy Lab  - Casino Policy and Consequence (3 Semester Credit Hours),"Timothy Bray,Natalia Lamberova",Laboratory - No Lab Fee Thursday 10:00am - 12:45pm FN 2.302,26s
