School,School_Code,Professor_Name,Title,Department,Profile_URL,RMP_URL,Research_Areas,Tags
Erik Jonsson School of Engineering and Computer Science,ECS,Jason Jue,Professor,Computer Science,https://profiles.utdallas.edu/jason.jue,https://www.ratemyprofessors.com/search/professors/1273?q=Jason%20Jue,Multi-Domain Optical Networks | Impairment-Aware Optical Networking | Resource Management for Optical Grids | Optical Multicast for IPTV | Network Survivability | Optical Burst and Packet Switching | Optical Network Control and Management | Energy-Efficient Networking | Delay-Tolerant Networks | Wireless and Sensor Networks,Computer Science | Electrical Engineering | Computer Engineering
Erik Jonsson School of Engineering and Computer Science,ECS,Murat Kantarcioglu,Ashbel Smith  Professor,Computer Science,https://profiles.utdallas.edu/muratk,https://www.ratemyprofessors.com/search/professors/1273?q=Murat%20Kantarcioglu,Security and privacy issues raised by data mining | Privacy issues in social networks | Security issues in databases | Privacy issues in health care | Applied cryptography | Use of data mining for fraud detection and homeland security,Security | Computer Science | Data Science | Data Privacy
Erik Jonsson School of Engineering and Computer Science,ECS,Bhanu Kapoor,Lecturer I,Computer Science,https://profiles.utdallas.edu/bhanu.kapoor,https://www.ratemyprofessors.com/search/professors/1273?q=Bhanu%20Kapoor,,Computer Science | Systems Engineering
Erik Jonsson School of Engineering and Computer Science,ECS,Gity Karami,Assistant Professor of Instruction,,https://profiles.utdallas.edu/gity.karami,https://www.ratemyprofessors.com/search/professors/1273?q=Gity%20Karami,Software Engineering | Software Safety and Reliability | Data Mining and Machine Learning,Computer Science
Erik Jonsson School of Engineering and Computer Science,ECS,Imtiaz Karim,Assistant Professor,Computer Science,https://profiles.utdallas.edu/imtiaz.karim,https://www.ratemyprofessors.com/search/professors/1273?q=Imtiaz%20Karim,,Cybersecurity | Systems Security | Networks
Erik Jonsson School of Engineering and Computer Science,ECS,Shyam Karrah,Senior Lecturer III,Computer Science,https://profiles.utdallas.edu/shyam.karrah,https://www.ratemyprofessors.com/search/professors/1273?q=Shyam%20Karrah,,Computer Science
Erik Jonsson School of Engineering and Computer Science,ECS,Nasser Kehtarnavaz,Erik Jonsson Distinguished Professor | Professor of Electrical and Computer Engineering,,https://profiles.utdallas.edu/kehtar,https://www.ratemyprofessors.com/search/professors/1273?q=Nasser%20Kehtarnavaz,Signal and image processing | Machine learning and Deep Learning | Real-time implementation on embedded processors | Biomedical signal and image analysis,Electrical Engineering | Computer Engineering
Erik Jonsson School of Engineering and Computer Science,ECS,Kamran Z. Khan,Assistant Professor of Instruction,Computer Science,https://profiles.utdallas.edu/kamran.khan,https://www.ratemyprofessors.com/search/professors/1273?q=Kamran%20Z.%20Khan,,Computer Science
Erik Jonsson School of Engineering and Computer Science,ECS,Latifur Khan,Professor,Computer Science,https://profiles.utdallas.edu/latifur.khan,https://www.ratemyprofessors.com/search/professors/1273?q=Latifur%20Khan,Data mining | Multimedia information management | Semantic web | Database systems | Intrusion detection,Computer Science | Electrical Engineering | Computer Engineering
Erik Jonsson School of Engineering and Computer Science,ECS,Kamran Kiasaleh,Professor,Electrical Engineering,https://profiles.utdallas.edu/kamran.kiasaleh,https://www.ratemyprofessors.com/search/professors/1273?q=Kamran%20Kiasaleh,,Electrical Engineering | Computer Engineering
